map_uid;login;ubiname;team;position;round;total_points;score;checkpoints;end_match;time;
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"v_3LZvEUR8eLuX0akMTs9w";"Brinkenn";;"1";"2";"3";"-1";;"0";"2022-10-29 20:12:46";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"LjTDy5VISBWu48aFGKH9iA";"Nixotica";;"2";"2";"2";"-1";;"0";"2022-10-29 20:12:46";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"Z82UdmQ2SrKU7TRQyMcYIg";"Ocadan";;"3";"2";"1";"-1";;"0";"2022-10-29 20:12:46";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"2tuvKOe1Qpu_N4yMFBn89A";"That_Ski_Freak";;"4";"2";"0";"-1";;"0";"2022-10-29 20:12:46";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"lVsoxs1ZR5aAYBKMZhKLnw";"Thomas_Jean";;"5";"2";"0";"-1";;"0";"2022-10-29 20:12:46";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"v_3LZvEUR8eLuX0akMTs9w";"Brinkenn";;"1";"2";"3";"-1";;"1";"2022-10-29 20:12:47";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"LjTDy5VISBWu48aFGKH9iA";"Nixotica";;"2";"2";"2";"-1";;"1";"2022-10-29 20:12:47";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"Z82UdmQ2SrKU7TRQyMcYIg";"Ocadan";;"3";"2";"1";"-1";;"1";"2022-10-29 20:12:47";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"2tuvKOe1Qpu_N4yMFBn89A";"That_Ski_Freak";;"4";"2";"0";"-1";;"1";"2022-10-29 20:12:47";
"vevaKPYQ3Bw0cwHtq2q3zQo8Jk";"lVsoxs1ZR5aAYBKMZhKLnw";"Thomas_Jean";;"5";"2";"0";"-1";;"1";"2022-10-29 20:12:47";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"LjTDy5VISBWu48aFGKH9iA";"Nixotica";;"1";"1";"51";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"pGFZWSzLQmSN4RCM_OQlhQ";"Acide.";;"2";"1";"50";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"lDJF5swBQOyA-Xe7LLtZFA";"HeavTM";;"3";"1";"49";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"OvpT1UGERteANMct3hF77w";"OMEGATM.";;"4";"1";"48";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"18AkUnMzSd-KMUz5MkdQBw";"sophie.ice";;"5";"1";"47";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"8hOxAJGpTVqRXb0cMbezbw";"Noiza.";;"6";"1";"46";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"7VeNdCHaTYWrce5EYn7Ckw";"SilentSamTM";;"7";"1";"45";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"v_3LZvEUR8eLuX0akMTs9w";"Brinkenn";;"8";"1";"44";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"bn2GhrXxSEOlFgESUCZ7tw";"Eria.TM";;"9";"1";"43";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"Z82UdmQ2SrKU7TRQyMcYIg";"Ocadan";;"10";"1";"42";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"tJhFwq1BQqOiJK-Tk35LTQ";"Acrose17";;"11";"1";"41";"-1";;"0";"2022-10-29 20:31:33";
